Name,URL,Price,Ratings,Reviews,Description,ASIN,Manufacturer
NA,https://www.amazon.in/Amazon-Brand-Solimo-5-Piece-Diaper/dp/B08FTH4GKR/ref=sxin_14_trfobq2a_1_B08FTH4GKR?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08FTH4GKR&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&sprefix=ba%2Caps%2C283&sr=1-2-b004551b-c118-419d-8e9d-9986d39b90c2,"1,079",4.2,51,NA,NA,NA
NA,https://www.amazon.in/Amazon-Brand-Aw-19-Womens-Sling/dp/B07XH3TFVK/ref=sxin_14_trfobq2a_2_B07XH3TFVK?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07XH3TFVK&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=A1WYWER0W24N8S&sprefix=ba%2Caps%2C283&sr=1-3-b004551b-c118-419d-8e9d-9986d39b90c2,749,4.1,187,NA,NA,NA
NA,https://www.amazon.in/AmazonBasics-Hardside-Suitcase-Wheels-Black/dp/B0713ZQ4DQ/ref=sxin_14_trfobq2a_3_B0713ZQ4DQ?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0713ZQ4DQ&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-4-b004551b-c118-419d-8e9d-9986d39b90c2,"11,389",4.2,"1,263",NA,NA,NA
NA,https://www.amazon.in/AmazonBasics-7-Piece-Bed-Bag-Pillowcases/dp/B00U2WG6CW/ref=sxin_14_trfobq2a_4_B00U2WG6CW?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B00U2WG6CW&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&sprefix=ba%2Caps%2C283&sr=1-5-b004551b-c118-419d-8e9d-9986d39b90c2,"3,429",4.6,"1,075",NA,NA,NA
NA,https://www.amazon.in/MURANO-Ltrs-Laptop-Backpack-9050035_D/dp/B076YDYT9K/ref=sxin_14_trfobq2a_5_B076YDYT9K?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B076YDYT9K&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&sprefix=ba%2Caps%2C283&sr=1-6-b004551b-c118-419d-8e9d-9986d39b90c2,"1,465",4.0,88,NA,NA,NA
NA,https://www.amazon.in/AmazonBasics-Slim-Carry-On-Backpack/dp/B079LMPPKG/ref=sxin_14_trfobq2a_6_B079LMPPKG?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B079LMPPKG&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-7-b004551b-c118-419d-8e9d-9986d39b90c2,"4,269",4.2,223,NA,NA,NA
NA,https://www.amazon.in/AmazonBasics-8-Piece-Bed-Bag-Microfiber/dp/B07K6L8ZLK/ref=sxin_14_trfobq2a_7_B07K6L8ZLK?content-id=amzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868%3Aamzn1.sym.44400834-8e6b-47a8-9801-f597f2a98868&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07K6L8ZLK&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=MmaVg&pd_rd_wg=9Cae5&pf_rd_p=44400834-8e6b-47a8-9801-f597f2a98868&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&sprefix=ba%2Caps%2C283&sr=1-8-b004551b-c118-419d-8e9d-9986d39b90c2,"3,589",4.4,163,NA,NA,NA
NA,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YF9VHTY&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=9tpF7&pd_rd_wg=9Cae5&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-1-b8003e8c-7dbe-4d7b-b373-a406a41b9947,649,4.5,753,NA,NA,NA
NA,https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YF1XJXY&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=9tpF7&pd_rd_wg=9Cae5&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=1-2-b8003e8c-7dbe-4d7b-b373-a406a41b9947,699,4.4,662,NA,NA,NA
NA,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sxin_15?content-id=amzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8%3Aamzn1.sym.c6b19462-ba91-4dc2-add9-c9c315b3c2f8&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B085S444JV&pd_rd_r=89795596-a462-43ea-91db-56040b085e91&pd_rd_w=9tpF7&pd_rd_wg=9Cae5&pf_rd_p=c6b19462-ba91-4dc2-add9-c9c315b3c2f8&pf_rd_r=JJGXAVYBT068MYCK5BAZ&qid=1658611204&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=1-3-b8003e8c-7dbe-4d7b-b373-a406a41b9947,548,4.3,"6,593",NA,NA,NA
